timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1655167172313,269,Conf#3 Request,200,OK,Conf#3 Users 3-1,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=3,268,0,1
1655167172307,275,Conf#3 Request,200,OK,Conf#3 Users 3-10,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=3,274,0,1
1655167172304,282,Conf#3 Request,200,OK,Conf#3 Users 3-5,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=3,277,0,0
1655167172303,282,Conf#3 Request,200,OK,Conf#3 Users 3-4,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=3,278,0,1
1655167172306,276,Conf#3 Request,200,OK,Conf#3 Users 3-8,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=3,276,0,0
1655167172305,280,Conf#3 Request,200,OK,Conf#3 Users 3-7,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=3,276,0,1
1655167172313,273,Conf#3 Request,200,OK,Conf#3 Users 3-11,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=3,268,0,1
1655167172307,275,Conf#3 Request,200,OK,Conf#3 Users 3-9,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=3,275,0,1
1655167172299,283,Conf#3 Request,200,OK,Conf#3 Users 3-2,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=3,283,0,1
1655167172306,276,Conf#3 Request,200,OK,Conf#3 Users 3-6,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=3,276,0,0
1655167172299,286,Conf#3 Request,200,OK,Conf#3 Users 3-3,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=3,283,0,1
1655167172290,318,Conf#2 Request,200,OK,Conf#2 Users 2-2,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=2,318,0,0
1655167172290,318,Conf#2 Request,200,OK,Conf#2 Users 2-4,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=2,318,0,0
1655167172290,322,Conf#2 Request,200,OK,Conf#2 Users 2-1,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=2,322,0,0
1655167172290,327,Conf#2 Request,200,OK,Conf#2 Users 2-3,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=2,327,0,0
1655167172292,327,Conf#2 Request,200,OK,Conf#2 Users 2-5,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=2,327,0,0
1655167172295,342,Conf#2 Request,200,OK,Conf#2 Users 2-10,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=2,342,0,0
1655167172294,343,Conf#2 Request,200,OK,Conf#2 Users 2-9,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=2,343,0,1
1655167172292,345,Conf#2 Request,200,OK,Conf#2 Users 2-6,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=2,345,0,1
1655167172292,345,Conf#2 Request,200,OK,Conf#2 Users 2-7,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=2,345,0,1
1655167172295,342,Conf#2 Request,200,OK,Conf#2 Users 2-11,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=2,342,0,1
1655167172294,344,Conf#2 Request,200,OK,Conf#2 Users 2-8,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=2,344,0,1
1655167172286,554,Conf#1 Request,200,OK,Conf#1 Users 1-1,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=1,554,0,1
1655167172287,555,Conf#1 Request,200,OK,Conf#1 Users 1-8,text,true,,367,158,11,33,http://localhost:8080/?token=468631578&user=2023828631&conf=1,555,0,0
